seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chrX	119384469	119384740	272	*	X081	10009	119384607	119392251	7645	+	0	overlapStart	0	ZBTB33
chrX	119763834	119763856	23	*	X082	29071	119759529	119764005	4477	-	0	inside	148	C1GALT1C1
chrX	119764102	119764167	66	*	X083	29071	119759529	119764005	4477	-	96	upstream	96	C1GALT1C1
chrX	123094333	123094390	58	*	X084	10735	123094475	123236505	142031	+	84	upstream	84	STAG2
chrX	129299688	129299849	162	*	X087	9131	129263338	129299861	36524	-	0	inside	11	AIFM1
chrX	133507130	133507303	174	*	X088	84295	133507342	133562822	55481	+	38	upstream	38	PHF6
chrX	134049187	134049359	173	*	X089	56180	134021662	134049297	27636	-	0	overlapStart	0	MOSPD1
chrX	134049433	134049463	31	*	X090	56180	134021662	134049297	27636	-	135	upstream	135	MOSPD1
chrX	134186212	134186468	257	*	X092	26071	134184963	134186221	1259	-	0	overlapStart	0	RTL8A
chrX	134232854	134233101	248	*	X093	644596	134229015	134232733	3719	-	120	upstream	120	SMIM10L2B
chrX	135579017	135579141	125	*	X096	27336	135579238	135594503	15266	+	96	upstream	96	HTATSF1
chrX	146993045	146993337	293	*	X098	2332	146993469	147032647	39179	+	131	upstream	131	FMR1
chrX	148620803	148621393	591	*	X100	91966	148622519	148632086	9568	+	1125	upstream	1125	EOLA1
chrX	148622168	148622613	446	*	X101	100131434	148609132	148622504	13373	-	0	overlapStart	0	LINC00893
chrX	148622168	148622613	446	*	X101	91966	148622519	148632086	9568	+	0	overlapStart	0	EOLA1
chrX	149106653	149107076	424	*	X102	100272228	149106766	149392815	286050	+	0	overlapStart	0	LINC00894
chrX	149106653	149107076	424	*	X102	541578	149097723	149106716	8994	-	0	overlapStart	0	EOLA2
chrX	149107952	149108978	1027	*	X103	541578	149097723	149106716	8994	-	1235	upstream	1235	EOLA2
chrX	149736705	149736911	207	*	X104	4534	149737047	149841616	104570	+	135	upstream	135	MTM1
chrX	151999211	151999285	75	*	X105	1069	151995871	151999301	3431	-	0	inside	15	CETN2
chrX	151999211	151999285	75	*	X105	50814	151999511	152037907	38397	+	225	upstream	225	NSDHL
chrX	151999380	151999658	279	*	X106	1069	151995871	151999301	3431	-	78	upstream	78	CETN2
chrX	151999380	151999658	279	*	X106	50814	151999511	152037907	38397	+	0	overlapStart	0	NSDHL
chrX	153626435	153626732	298	*	X113	26778	153628622	153628756	135	+	1889	upstream	1889	SNORA70
chrX	153626435	153626732	298	*	X113	6134	153626571	153632038	5468	+	0	overlapStart	0	RPL10
chrX	153656804	153656990	187	*	X114	537	153656978	153664862	7885	+	0	overlapStart	0	ATP6AP1
chrX	153707404	153707405	2	*	X115	8270	153705241	153707596	2356	-	0	inside	190	LAGE3
chrX	153719090	153719313	224	*	X116	8273	153715650	153719002	3353	-	87	upstream	87	SLC10A3
chrX	153744803	153744890	88	*	X117	60343	153733327	153744566	11240	-	236	upstream	236	FAM3A
chrX	153769299	153769676	378	*	X118	8517	153770459	153793261	22803	+	782	upstream	782	IKBKG
chrX	153770213	153770427	215	*	X119	8517	153770459	153793261	22803	+	31	upstream	31	IKBKG
chrX	153775855	153775861	7	*	X120	2539	153759606	153775787	16182	-	67	upstream	67	G6PD
chrX	153990795	153990964	170	*	X121	1736	153991031	154005964	14934	+	66	upstream	66	DKC1
chrX	154254914	154255210	297	*	X122	2157	154064064	154255215	191152	-	0	inside	4	F8
chrX	154254914	154255210	297	*	X122	65991	154255064	154285191	30128	+	0	overlapStart	0	FUNDC2
chrX	154299818	154299923	106	*	X123	100272147	154289900	154299547	9648	-	270	upstream	270	CMC4
chrX	154299818	154299923	106	*	X123	4515	154292309	154299547	7239	-	270	upstream	270	MTCP1
chrX	154299818	154299923	106	*	X123	79184	154299695	154351349	51655	+	0	inside	122	BRCC3
chr13	21714621	21714799	179	*	X124	10284	21714653	21723224	8572	+	0	overlapStart	0	SAP18
chr13	91999526	91999566	41	*	X127	407975	92000074	92006829	6756	+	507	upstream	507	MIR17HG
chr13	95253811	95253930	120	*	X128	160897	95254104	95286899	32796	+	173	upstream	173	GPR180
chr13	103426315	103426354	40	*	X129	93081	103418463	103426149	7687	-	165	upstream	165	TEX30
chr13	111267659	111267860	202	*	X130	55739	111267807	111292342	24536	+	0	overlapStart	0	NAXD
chr13	111367706	111367728	23	*	X131	79587	111293757	111365950	72194	-	1755	upstream	1755	CARS2
chr13	113951288	113951459	172	*	X132	3916	113951469	113977741	26273	+	9	upstream	9	LAMP1
chr12	31479025	31479245	221	*	X138	58516	31433520	31479159	45640	-	0	overlapStart	0	SINHCAF
chr12	56498391	56498500	110	*	X143	5036	56498103	56507694	9592	+	0	inside	287	PA2G4
chr12	56511660	56511982	323	*	X144	84872	56512030	56516278	4249	+	47	upstream	47	ZC3H10
chr12	56881896	56882115	220	*	X145	27165	56864736	56882181	17446	-	0	inside	65	GLS2
chr12	58148568	58148569	2	*	X146	92979	58148881	58154193	5313	+	311	upstream	311	MARCHF9
chr12	62654163	62654250	88	*	X147	338811	62102029	62653925	551897	-	237	upstream	237	TAFA2
chr12	62654163	62654250	88	*	X147	9958	62654121	62803501	149381	+	0	inside	41	USP15
chr12	65563181	65563282	102	*	X148	23592	65563351	65642141	78791	+	68	upstream	68	LEMD3
chr12	93836093	93836169	77	*	X150	7334	93802088	93836026	33939	-	66	upstream	66	UBE2N
chr12	95867885	95867996	112	*	X151	10988	95867822	95909613	41792	+	0	inside	62	METAP2
chr12	98987355	98987567	213	*	X152	5250	98987403	98995778	8376	+	0	overlapStart	0	SLC25A3
chr12	110905907	110906111	205	*	X153	29902	110906229	110928192	21964	+	117	upstream	117	FAM216A
chr12	110939919	110940073	155	*	X154	144715	110940005	110969891	29887	+	0	overlapStart	0	RAD9B
chr12	110939919	110940073	155	*	X154	51699	110929330	110939916	10587	-	2	upstream	2	VPS29
chr12	124118427	124118501	75	*	X157	1967	124105570	124118323	12754	-	103	upstream	103	EIF2B1
chr12	124118427	124118501	75	*	X157	2967	124118286	124147151	28866	+	0	inside	140	GTF2H3
chr12	133707213	133707229	17	*	X160	101060200	133696555	133707059	10505	-	153	upstream	153	ZNF891
chr12	133707213	133707229	17	*	X160	10795	133707213	133783697	76485	+	0	inside	0	ZNF268
chr12	133707213	133707229	17	*	X160	7556	133707213	133736049	28837	+	0	inside	0	ZNF10
chr11	3819350	3819390	41	*	X164	4928	3696240	3819022	122783	-	327	upstream	327	NUP98
chr11	10879369	10879420	52	*	X165	58486	10833621	10879620	46000	-	0	inside	199	ZBED5
chr11	10879369	10879420	52	*	X165	729013	10879764	10900823	21060	+	343	upstream	343	ZBED5-AS1
chr11	27494206	27494497	292	*	X166	55366	27387508	27494334	106827	-	0	overlapStart	0	LGR4
chr11	34937613	34937674	62	*	X168	51074	34896714	34937939	41226	-	0	inside	264	APIP
chr11	34937613	34937674	62	*	X168	8050	34937677	35017675	79999	+	2	upstream	2	PDHX
chr11	43701907	43702137	231	*	X169	51144	43702143	43878169	176027	+	5	upstream	5	HSD17B12
chr11	47448001	47448101	101	*	X170	5702	47440320	47448024	7705	-	0	overlapStart	0	PSMC3
chr11	61582873	61582923	51	*	X173	100302263	61582633	61582712	80	-	160	upstream	160	MIR1908
chr11	61582873	61582923	51	*	X173	9415	61583728	61634825	51098	+	804	upstream	804	FADS2
chr11	63741733	63741821	89	*	X175	1351	63742079	63744015	1937	+	257	upstream	257	COX8A
chr11	63742089	63742216	128	*	X176	1351	63742079	63744015	1937	+	0	inside	9	COX8A
chr11	65627690	65627983	294	*	X178	1072	65622285	65626886	4602	-	803	upstream	803	CFL1
chr11	65627690	65627983	294	*	X178	80198	65627872	65633914	6043	+	0	overlapStart	0	MUS81
chr11	66115449	66115631	183	*	X179	11041	66112843	66115161	2319	-	287	upstream	287	B4GAT1
chr11	66360646	66360799	154	*	X180	55231	66357640	66360554	2915	-	91	upstream	91	CCDC87
chr11	66360646	66360799	154	*	X180	9973	66360690	66373490	12801	+	0	overlapStart	0	CCS
chr11	66789861	66790236	376	*	X181	91683	66790190	66818334	28145	+	0	overlapStart	0	SYT12
chr11	67350947	67351107	161	*	X182	2950	67351066	67354124	3059	+	0	overlapStart	0	GSTP1
chr11	67398287	67398353	67	*	X183	254552	67395409	67397408	2000	-	878	upstream	878	NUDT8
chr11	82868163	82868198	36	*	X184	51585	82868137	82896835	28699	+	0	inside	25	PCF11
chr11	118122878	118123110	233	*	X185	196264	118100336	118123011	22676	-	0	overlapStart	0	MPZL3
chr10	5726465	5726536	72	*	X188	54906	5726801	5805703	78903	+	264	upstream	264	TASOR2
chr10	12085322	12085448	127	*	X189	26019	11962021	12085169	123149	-	152	upstream	152	UPF2
chr10	27444344	27444429	86	*	X190	10730	27399040	27443349	44310	-	994	upstream	994	YME1L1
chr10	38691587	38691673	87	*	X192	285961	38671998	38691780	19783	-	0	inside	106	SEPTIN7P9
chr10	38692176	38692234	59	*	X193	285961	38671998	38691780	19783	-	395	upstream	395	SEPTIN7P9
chr10	43904783	43905045	263	*	X194	3185	43881065	43904696	23632	-	86	upstream	86	HNRNPF
chr10	64892854	64892985	132	*	X195	29982	64893007	64914786	21780	+	21	upstream	21	NRBF2
chr10	70091801	70091858	58	*	X196	3189	70091768	70102953	11186	+	0	inside	32	HNRNPH3
chr10	96162064	96162137	74	*	X199	23232	96162186	96296089	133904	+	48	upstream	48	TBC1D12
chr10	99496544	99496943	400	*	X200	118813	99496878	99520664	23787	+	0	overlapStart	0	ZFYVE27
chr10	124713773	124713984	212	*	X202	80007	124690419	124713919	23501	-	0	overlapStart	0	C10orf88
chr10	124768261	124768406	146	*	X203	36	124768429	124817806	49378	+	22	upstream	22	ACADSB
chr10	124768261	124768406	146	*	X203	64376	124750322	124768366	18045	-	0	overlapStart	0	IKZF5
chr17	4613297	4613330	34	*	X204	409	4613789	4624795	11007	+	458	upstream	458	ARRB2
chr17	4852117	4852154	38	*	X205	5216	4848945	4852381	3437	-	0	inside	226	PFN1
chr17	7166261	7166611	351	*	X207	1366	7163222	7166512	3291	-	0	overlapStart	0	CLDN7
chr17	7210184	7210413	230	*	X208	1984	7210318	7215782	5465	+	0	overlapStart	0	EIF5A
chr17	7476059	7476148	90	*	X209	652965	7478031	7478165	135	+	1882	upstream	1882	SNORA48
chr17	7476916	7477089	174	*	X210	652965	7478031	7478165	135	+	941	upstream	941	SNORA48
chr17	7486919	7486933	15	*	X211	9526	7486965	7496107	9143	+	31	upstream	31	MPDU1
chr17	16283998	16284142	145	*	X214	7314	16284367	16286054	1688	+	224	upstream	224	UBB
chr17	16342317	16342427	111	*	X215	125144	16342301	16373962	31662	+	0	inside	15	SNHG29
chr17	16342317	16342427	111	*	X215	26800	16343350	16343420	71	+	922	upstream	922	SNORD49A
chr17	16342317	16342427	111	*	X215	692087	16342823	16342870	48	+	395	upstream	395	SNORD49B
chr17	27620945	27621196	252	*	X217	57532	27582854	27621166	38313	-	0	overlapStart	0	NUFIP2
chr17	30677015	30677266	252	*	X218	693217	30677128	30677221	94	+	0	includeFeature	0	MIR632
chr17	30677015	30677266	252	*	X218	7756	30677157	30707975	30819	+	0	overlapStart	0	ZNF207
chr17	30771147	30771223	77	*	X219	5717	30771481	30810337	38857	+	257	upstream	257	PSMD11
chr17	34890910	34890987	78	*	X220	284098	34890847	34895150	4304	+	0	inside	62	PIGW
chr17	38444065	38444285	221	*	X221	990	38444146	38459413	15268	+	0	overlapStart	0	CDC6
chr17	38574097	38574194	98	*	X222	7153	38544773	38574202	29430	-	0	inside	7	TOP2A
chr17	39844778	39844881	104	*	X223	10209	39845127	39847898	2772	+	245	upstream	245	EIF1
chr17	40897177	40897201	25	*	X224	2145	40852293	40897071	44779	-	105	upstream	105	EZH1
chr17	42263865	42264010	146	*	X226	339201	42253342	42264085	10744	-	0	inside	74	ASB16-AS1
chr17	42263865	42264010	146	*	X226	79089	42264354	42269099	4746	+	343	upstream	343	TMUB2
chr17	47755333	47755780	448	*	X229	8405	47676246	47755525	79280	-	0	overlapStart	0	SPOP
chr17	56084551	56084801	251	*	X230	6426	56078280	56084707	6428	-	0	overlapStart	0	SRSF1
chr17	62502378	62502390	13	*	X231	1655	62494374	62502484	8111	-	0	inside	93	DDX5
chr17	62502378	62502390	13	*	X231	90799	62503158	62534062	30905	+	767	upstream	767	CEP95
chr16	686883	686979	97	*	X234	84326	684429	686347	1919	-	535	upstream	535	METTL26
chr16	1661951	1662165	215	*	X236	9742	1560428	1662109	101682	-	0	overlapStart	0	IFT140
chr16	1755731	1755879	149	*	X237	23162	1756221	1820318	64098	+	341	upstream	341	MAPK8IP3
chr16	2205386	2205579	194	*	X238	26788	2205024	2205106	83	-	279	upstream	279	SNORD60
chr16	2205386	2205579	194	*	X238	84231	2205799	2228130	22332	+	219	upstream	219	TRAF7
chr16	2390934	2390998	65	*	X239	21	2325879	2390747	64869	-	186	upstream	186	ABCA3
chr16	2732345	2732360	16	*	X240	54442	2732495	2759031	26537	+	134	upstream	134	KCTD5
chr16	4524595	4524776	182	*	X244	3163	4524719	4560348	35630	+	0	overlapStart	0	HMOX2
chr16	4524595	4524776	182	*	X244	57407	4511695	4524896	13202	-	0	inside	119	NMRAL1
chr16	4526137	4526324	188	*	X245	57407	4511695	4524896	13202	-	1240	upstream	1240	NMRAL1
chr16	28223530	28223550	21	*	X247	23214	28109298	28223239	113942	-	290	upstream	290	XPO6
chr16	29984769	29984920	152	*	X248	9344	29985188	30003582	18395	+	267	upstream	267	TAOK2
chr16	30107863	30107932	70	*	X249	83719	30103635	30107537	3903	-	325	upstream	325	YPEL3
chr16	30381854	30382196	343	*	X250	26000	30368422	30381522	13101	-	331	upstream	331	TBC1D10B
chr16	58663675	58663728	54	*	X251	23019	58553850	58663790	109941	-	0	inside	61	CNOT1
chr16	68563849	68563900	52	*	X254	146198	68564048	68609945	45898	+	147	upstream	147	ZFP90
chr16	89752890	89753009	120	*	X257	8558	89753076	89762772	9697	+	66	upstream	66	CDK10
chr16	90143610	90143763	154	*	X260	11105	90122974	90142338	19365	-	1271	upstream	1271	PRDM7
chr15	35261907	35261948	42	*	X262	9716	35148552	35261995	113444	-	0	inside	46	AQR
chr15	59225740	59225766	27	*	X265	79811	59171244	59225852	54609	-	0	inside	85	SLTM
chr15	66161475	66161754	280	*	X266	8766	66161797	66184329	22533	+	42	upstream	42	RAB11A
chr15	66161935	66162109	175	*	X267	8766	66161797	66184329	22533	+	0	inside	137	RAB11A
chr15	78799544	78799602	59	*	X268	123688	78799906	78829715	29810	+	303	upstream	303	HYKK
chr15	79165327	79165405	79	*	X269	10933	79165123	79190081	24959	+	0	inside	203	MORF4L1
chr15	89878142	89878492	351	*	X272	5428	89859536	89878026	18491	-	115	upstream	115	POLG
chr15	91537684	91537816	133	*	X273	9055	91509268	91537881	28614	-	0	inside	64	PRC1
chr14	20929652	20929888	237	*	X274	90809	20926012	20929637	3626	-	14	upstream	14	PIP4P1
chr14	20929899	20930175	277	*	X275	90809	20926012	20929637	3626	-	261	upstream	261	PIP4P1
chr14	21737585	21737650	66	*	X276	3183	21677296	21737638	60343	-	0	overlapStart	0	HNRNPC
chr14	21979581	21979672	92	*	X277	56339	21966282	21979457	13176	-	123	upstream	123	METTL3
chr14	23388322	23388460	139	*	X278	55147	23369854	23388396	18543	-	0	overlapStart	0	RBM23
chr14	39644375	39644534	160	*	X281	5411	39644387	39652422	8036	+	0	overlapStart	0	PNN
chr14	65007169	65007578	410	*	X282	3306	65007186	65009954	2769	+	0	overlapStart	0	HSPA2
chr14	74111622	74111792	171	*	X284	83544	74111578	74170431	58854	+	0	inside	43	DNAL1
chr14	91976524	91976649	126	*	X287	55671	91923956	91976813	52858	-	0	inside	163	PPP4R3A
chr14	93673206	93673392	187	*	X288	55148	93673401	93695561	22161	+	8	upstream	8	UBR7
chr14	93673206	93673392	187	*	X288	84520	93669237	93673459	4223	-	0	inside	66	GON7
chr14	105218768	105219082	315	*	X289	10572	105219470	105225996	6527	+	387	upstream	387	SIVA1
chr19	345106	345106	1	*	X292	54531	305575	344791	39217	-	314	upstream	314	MIER2
chr19	2783519	2783607	89	*	X294	6449	2754712	2783354	28643	-	164	upstream	164	SGTA
chr19	2783519	2783607	89	*	X294	7064	2785506	2813599	28094	+	1898	upstream	1898	THOP1
chr19	4457873	4458119	247	*	X296	80700	4445003	4457791	12789	-	81	upstream	81	UBXN6
chr19	4724019	4724104	86	*	X297	91039	4675244	4723855	48612	-	163	upstream	163	DPP9
chr19	5623148	5623263	116	*	X298	6294	5623046	5668489	45444	+	0	inside	101	SAFB
chr19	5623148	5623263	116	*	X298	9667	5587010	5622938	35929	-	209	upstream	209	SAFB2
chr19	6425364	6425600	237	*	X301	8570	6413119	6424822	11704	-	541	upstream	541	KHSRP
chr19	7069156	7069340	185	*	X302	79230	7069471	7087978	18508	+	130	upstream	130	ZNF557
chr19	8509734	8509940	207	*	X303	4670	8509803	8554002	44200	+	0	overlapStart	0	HNRNPM
chr19	8943367	8943540	174	*	X304	148156	8920382	8942975	22594	-	391	upstream	391	ZNF558
chr19	8943669	8943705	37	*	X305	148156	8920382	8942975	22594	-	693	upstream	693	ZNF558
chr19	9938403	9938627	225	*	X306	59286	9938556	9940797	2242	+	0	overlapStart	0	UBL5
chr19	10946990	10947142	153	*	X307	11018	10943114	10946983	3870	-	6	upstream	6	TMED1
chr19	11670132	11670228	97	*	X308	84337	11663858	11670051	6194	-	80	upstream	80	ELOF1
chr19	12405752	12405923	172	*	X309	51710	12335501	12405714	70214	-	37	upstream	37	ZNF44
chr19	12551977	12552031	55	*	X310	10224	12540520	12551926	11407	-	50	upstream	50	ZNF443
chr19	13056455	13056599	145	*	X313	5886	13056628	13064457	7830	+	28	upstream	28	RAD23A
chr19	14016829	14016892	64	*	X315	54862	14016956	14041693	24738	+	63	upstream	63	CC2D1A
chr19	14016829	14016892	64	*	X315	79173	13993168	14016909	23742	-	0	inside	16	BRME1
chr19	15751416	15751736	321	*	X316	4051	15751707	15771570	19864	+	0	overlapStart	0	CYP4F3
chr19	17970537	17970780	244	*	X319	6142	17970687	17974133	3447	+	0	overlapStart	0	RPL18A
chr19	37178261	37178678	418	*	X321	163081	37178530	37214248	35719	+	0	overlapStart	0	ZNF567
chr19	39926500	39926595	96	*	X323	6217	39923847	39926618	2772	-	0	inside	22	RPS16
chr19	39936064	39936326	263	*	X324	6829	39936186	39967308	31123	+	0	overlapStart	0	SUPT5H
chr19	44555943	44555952	10	*	X326	7766	44556164	44572142	15979	+	211	upstream	211	ZNF223
chr19	44905616	44905840	225	*	X327	26974	44889808	44905777	15970	-	0	overlapStart	0	ZNF285
chr19	44905616	44905840	225	*	X327	7771	44830706	44905777	75072	-	0	overlapStart	0	ZNF112
chr19	46195128	46195443	316	*	X329	54814	46195741	46207248	11508	+	297	upstream	297	QPCTL
chr19	46195128	46195443	316	*	X329	6633	46190712	46195443	4732	-	0	inside	0	SNRPD2
chr19	46706401	46706596	196	*	X331	93429	46706683	46718094	11412	+	86	upstream	86	LOC93429
chr19	47633909	47634152	244	*	X332	10055	47634080	47713893	79814	+	0	overlapStart	0	SAE1
chr19	49468661	49468666	6	*	X334	2512	49468566	49470136	1571	+	0	inside	94	FTL
chr19	50169148	50169292	145	*	X335	3661	50162826	50169132	6307	-	15	upstream	15	IRF3
chr19	50528848	50528949	102	*	X336	25888	50529212	50552031	22820	+	262	upstream	262	ZNF473
chr19	50528848	50528949	102	*	X336	51231	50479724	50528805	49082	-	42	upstream	42	VRK3
chr19	50832861	50832947	87	*	X337	3748	50815199	50832634	17436	-	226	upstream	226	KCNC3
chr19	50832861	50832947	87	*	X337	7376	50832949	50886285	53337	+	1	upstream	1	NR1H2
chr19	51307866	51308139	274	*	X339	84798	51300961	51307974	7014	-	0	overlapStart	0	C19orf48
chr19	54960195	54960510	316	*	X340	114823	54960065	54973196	13132	+	0	inside	129	LENG8
chr19	55897308	55897338	31	*	X342	388564	55890612	55895627	5016	-	1680	upstream	1680	TMEM238
chr19	55897308	55897338	31	*	X342	6158	55897300	55903451	6152	+	0	inside	7	RPL28
chr19	55919631	55919935	305	*	X343	27338	55912650	55919325	6676	-	305	upstream	305	UBE2S
chr19	56165463	56165485	23	*	X344	11338	56165416	56186082	20667	+	0	inside	46	U2AF2
chr19	56165603	56165749	147	*	X345	11338	56165416	56186082	20667	+	0	inside	186	U2AF2
chr18	19180417	19180595	179	*	X346	114799	19109262	19180693	71432	-	0	inside	97	ESCO1
chr18	19285023	19285028	6	*	X347	171586	19230858	19284766	53909	-	256	upstream	256	ABHD3
chr18	19285023	19285028	6	*	X347	57534	19284918	19450912	165995	+	0	inside	104	MIB1
chr18	28623134	28623143	10	*	X348	1825	28570052	28622781	52730	-	352	upstream	352	DSC3
chr18	29523027	29523120	94	*	X349	22878	29409136	29523099	113964	-	0	overlapStart	0	TRAPPC8
chr18	51795747	51795902	156	*	X350	11201	51795849	51824604	28756	+	0	overlapStart	0	POLI
chr22	29664019	29664314	296	*	X353	2130	29663998	29696515	32518	+	0	inside	20	EWSR1
chr22	29664019	29664314	296	*	X353	25807	29655844	29663914	8071	-	104	upstream	104	RHBDD3
chr22	31364978	31365196	219	*	X354	22880	31322600	31364187	41588	-	790	upstream	790	MORC2
chr22	31364978	31365196	219	*	X354	55000	31365634	31375380	9747	+	437	upstream	437	TUG1
chr22	31503671	31503808	138	*	X355	140606	31500763	31503551	2789	-	119	upstream	119	SELENOM
chr22	31503671	31503808	138	*	X355	27124	31503961	31530683	26723	+	152	upstream	152	INPP5J
chr22	36878117	36878308	192	*	X356	25828	36863093	36877687	14595	-	429	upstream	429	TXN2
chr22	37172595	37172599	5	*	X357	11020	37154246	37172177	17932	-	417	upstream	417	IFT27
chr22	39378132	39378426	295	*	X359	9582	39378404	39388784	10381	+	0	overlapStart	0	APOBEC3B
chr22	39916135	39916339	205	*	X361	468	39916569	39918691	2123	+	229	upstream	229	ATF4
chr22	41865026	41865148	123	*	X362	50	41865129	41924993	59865	+	0	overlapStart	0	ACO2
chr22	41865026	41865148	123	*	X362	84844	41855721	41864708	8988	-	317	upstream	317	PHF5A
chr20	305806	305857	52	*	X364	6666	306215	310872	4658	+	357	upstream	357	SOX12
chr20	20032934	20033115	182	*	X365	26074	20033158	20341346	308189	+	42	upstream	42	CFAP61
chr20	34330497	34330668	172	*	X367	9584	34291531	34330258	38728	-	238	upstream	238	RBM39
